Transaction_ID,Transaction_Date,Customer_ID,Transaction_Category,Amount_USD,Currency,Department,Payment_Method,Transaction_Status,Approval_Code
TXN-000001,2024-04-30,CUST-0154,Revenue,"$19,851.89",USD,Business Development,Credit Card,Failed,
TXN-000002,2023-11-20,CUST-0019,Operating Expense,"$2,460.01",CAD,Finance,Direct Debit,Completed,APR-45278
TXN-000003,2024-08-29,CUST-0121,Tax Payment,"$7,485.29",USD,Finance,,Failed,
TXN-000004,2022-03-19,CUST-0182,Investment,"$21,817.96",USD,Treasury,Credit Card,Completed,APR-58684
TXN-000005,2024-08-15,CUST-0115,Operating Expense,"$4,489.06",EUR,HR,Bank Transfer,Completed,APR-59108
TXN-000006,2024-01-30,CUST-0238,Revenue,"$38,143.59",USD,Business Development,Credit Card,Completed,APR-32822
TXN-000007,2023-05-04,CUST-0011,Tax Payment,"$8,206.98",USD,Finance,Credit Card,Completed,APR-68340
TXN-000008,2022-04-22,CUST-0266,Capital Expenditure,"$24,575.80",GBP,Operations,Bank Transfer,Completed,APR-60516
TXN-000009,2024-12-25,CUST-0136,Capital Expenditure,"$32,601.48",USD,Real Estate,Internal Transfer,Completed,APR-88581
TXN-000010,2022-01-19,CUST-0255,Tax Payment,"$15,022.03",GBP,Finance,Credit Card,Completed,APR-16148
TXN-000011,2024-07-17,CUST-0011,Operating Expense,"$5,141.19",USD,Finance,Bank Transfer,Completed,APR-66145
TXN-000012,2024-06-29,CUST-0074,Investment,"$19,950.52",GBP,Treasury,Bank Transfer,Completed,APR-33553
TXN-000013,2023-08-01,CUST-0002,Loan Repayment,"$4,449.37",USD,Finance,Credit Card,Completed,APR-71494
TXN-000014,2023-11-26,CUST-0013,Revenue,"$107,546.81",USD,Business Development,Direct Debit,Completed,APR-35682
TXN-000015,2024-11-12,CUST-0242,Operating Expense,"$1,769.13",USD,HR,Bank Transfer,Completed,APR-77184
TXN-000016,2023-08-20,CUST-0086,Revenue,"$103,206.64",USD,Sales,Direct Debit,Pending,
TXN-000017,2024-12-14,CUST-0001,Investment,"$32,812.94",EUR,Business Development,Bank Transfer,Completed,APR-19987
TXN-000018,2023-12-24,CUST-0056,Tax Payment,"$11,920.99",USD,Finance,Bank Transfer,Completed,APR-56461
TXN-000019,2022-07-21,CUST-0014,Operating Expense,"$6,711.31",USD,Marketing,Bank Transfer,Completed,APR-32816
TXN-000020,2024-08-19,CUST-0107,Revenue,"$20,631.62",GBP,Partnerships,Bank Transfer,Completed,APR-50761
TXN-000021,2023-01-17,CUST-0068,Capital Expenditure,"$52,011.04",GBP,IT,,Pending,
TXN-000022,2024-01-20,CUST-0031,Capital Expenditure,"$6,280.10",EUR,Real Estate,Credit Card,Pending,
TXN-000023,2023-04-28,CUST-0018,Operating Expense,"$1,943.14",USD,HR,Bank Transfer,Completed,APR-15598
TXN-000024,2024-08-22,CUST-0034,Investment,"$62,082.35",USD,Finance,Bank Transfer,Completed,APR-93595
TXN-000025,2024-08-31,CUST-0010,Tax Payment,"$37,952.08",USD,Finance,Credit Card,Completed,APR-38366
TXN-000026,2023-01-30,CUST-0006,Loan Repayment,"$12,768.90",GBP,Finance,Bank Transfer,Completed,APR-98036
TXN-000027,2024-04-08,CUST-0078,Operating Expense,"$2,896.12",EUR,HR,,Pending,
TXN-000028,2022-07-24,CUST-0207,Capital Expenditure,"$40,131.14",GBP,Operations,,Pending,
TXN-000029,2023-09-06,CUST-0006,Capital Expenditure,"$24,814.89",USD,Real Estate,Bank Transfer,Completed,APR-51443
TXN-000030,2022-07-26,CUST-0001,Revenue,"$88,173.94",USD,Business Development,,Pending,
TXN-000031,2022-10-12,CUST-0158,Revenue,"$30,625.47",USD,Sales,Direct Debit,Completed,APR-40854
TXN-000032,2023-01-17,CUST-0155,Operating Expense,"$7,171.10",GBP,Marketing,Direct Debit,Completed,APR-90245
TXN-000033,2023-11-09,CUST-0216,Loan Repayment,"$5,395.26",EUR,Finance,Bank Transfer,Completed,APR-71233
TXN-000034,2022-06-22,CUST-0168,Refund,"$1,554.45",USD,Sales,Credit Card,Completed,APR-24511
TXN-000035,2023-02-16,CUST-0001,Tax Payment,"$18,529.64",JPY,Treasurey,Direct Debit,Completed,APR-45378
TXN-000036,2022-01-18,CUST-0015,Investment,"$28,026.60",CAD,Business Development,Bank Transfer,Completed,APR-82563
TXN-000037,2024-10-21,CUST-0017,Operating Expense,"$5,974.06",CAD,Operations,Credit Card,Completed,APR-64568
TXN-000038,2024-01-18,CUST-0003,Operating Expense,"$12,032.17",USD,Marketing,Internal Transfer,Completed,APR-37704
TXN-000039,2022-11-16,CUST-0182,Investment,"$31,444.10",USD,Treasury,Credit Card,Completed,APR-26226
TXN-000040,2024-11-12,CUST-0219,Revenue,"$33,589.04",CAD,Sales,Credit Card,Completed,APR-14416
TXN-000041,2024-01-09,CUST-0066,Operating Expense,"$1,617.61",USD,Finance,Direct Debit,Completed,APR-31422
TXN-000042,2022-04-11,CUST-0074,Investment,"$11,746.40",USD,Treasury,Credit Card,Completed,APR-72977
TXN-000043,2023-12-24,CUST-0011,Loan Repayment,"$5,569.28",USD,Finance,Bank Transfer,Completed,APR-25621
TXN-000044,2024-04-04,CUST-0027,Operating Expense,"$3,130.98",EUR,Operations,Cheque,Completed,APR-33947
TXN-000045,2024-08-10,CUST-0105,Operating Expense,"$5,594.78",GBP,HR,Credit Card,Pending,
TXN-000046,2024-09-05,CUST-0035,Revenue,"$56,585.14",JPY,Business Development,Credit Card,Completed,APR-32446
TXN-000047,2023-03-11,CUST-0147,Tax Payment,"$13,448.60",USD,Legal,Credit Card,Completed,APR-92081
TXN-000048,2024-12-10,CUST-0016,Investment,"$68,469.37",USD,Business Development,Bank Transfer,Completed,APR-65853
TXN-000049,2023-10-30,CUST-0016,Tax Payment,"$3,955.93",GBP,Legal,Internal Transfer,Completed,APR-20147
TXN-000050,2023-03-25,CUST-0159,Capital Expenditure,"$49,781.00",GBP,IT,Bank Transfer,Completed,APR-87066
